"Product ID","Product Type",Code,Name,Brand,Description,"Cost Price","Retail Price","Sale Price","Calculated Price","Fixed Shipping Price","Free Shipping",Warranty,Weight,Width,Height,Depth,"Allow Purchases","Product Visible","Product Availability","Product Inventoried","Stock Level","Low Stock Level","Date Added","Date Modified","Category Details",Images,"Page Title","META Keywords","META Description","Product Condition","Product URL","Redirect Old URL?","Product Tax Code","Product Custom Fields"
182,P,,"Don't Call It a Dream, Call It a Plan Metal Laser","Metal Word Signs","18 x 18 Planked Sign",0.00,0.00,0.00,30.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,29/06/2020,22/07/2021,"Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs","Product Image File: IMG_7741__69490.1593397422.1280.1280__32331.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/n/443/IMG_7741__69490.1593397422.1280.1280__32331.jpg","It's a Good Day to Have a Good Day",,,New,/dont-call-it-a-dream-call-it-a-plan-metal-laser/,,,
183,P,,"No Place Like Home Metal Laser","Metal Word Signs","12x12 metal laser sign",0.00,0.00,0.00,25.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,14/07/2020,22/07/2021,"Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs","Product Image File: Metal_No_place__00461.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/r/372/Metal_No_place__00461.jpg","No Place Like Home Metal Laser",,,New,/no-place-like-home-metal-laser/,,,
186,P,,"Christmas One Piece Wood Signs",,"One Piece - Means one piece of Wood, This is not multiple pieces of wood pieced together.",0.00,0.00,0.00,30.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,19/07/2020,24/02/2022,"Category Name: Christmas, Category Path: Wood Projects/One Piece Signs/Christmas","Product Image File: elf_welcome_hat__98847.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/n/169/elf_welcome_hat__98847.jpg","12 x 49 Porch Sign - with Frame",,,New,/11x18-pallet-sign-double-board/,,,
188,P,,"Christmas Pallet Signss",,,0.00,0.00,0.00,25.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,20/07/2020,24/02/2022,"Category Name: Christmas, Category Path: Wood Projects/Pallet Signs/Christmas","Product Image File: Christmas_Trees_4__25375.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/a/327/Christmas_Trees_4__25375.jpg","12 x 49 Porch Sign - with Frame",,,New,/5-5-x-18-pallet-sign-single-board/,,,
190,P,,"Reversible Scarecrow & Snowman Porch Signs",,"One Side is a Scarecrow and on the Reverse is a Snowman or Snowgirl whichever you perfer!  Make it unique and your own :) 11x48""   ",0.00,0.00,0.00,55.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,20/07/2020,03/11/2021,"Category Name: Reversible Scarecrow Snowman, Category Path: Wood Projects/Reversible Scarecrow Snowman","Product Image File: Scarecrow_back__87312.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/g/859/Scarecrow_back__87312.jpg|Product Image File: Snowman_front_sign__22848.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/i/169/Snowman_front_sign__22848.jpg","12 x 49 Porch Sign - with Frame",,,New,/reversible-scarecrow-snowman-porch-sign/,,,
191,P,,"Small Reversible Scarecrow & Snowman Porch Sign",,"One Side is a Scarecrow and on the Reverse is a Snowman or Snowgirl whichever you perfer!  Make it unique and your own :) 11x24""   ",0.00,0.00,0.00,40.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,20/07/2020,03/11/2021,"Category Name: Reversible Scarecrow Snowman, Category Path: Wood Projects/Reversible Scarecrow Snowman","Product Image File: Scarecrow_back__87312.1595238952.1280.1280__68599.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/c/295/Scarecrow_back__87312.1595238952.1280.1280__68599.jpg|Product Image File: Snowman_front_sign__22848.1595238952.1280.1280__81505.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/h/904/Snowman_front_sign__22848.1595238952.1280.1280__81505.jpg","12 x 49 Porch Sign - with Frame",,,New,/small-reversible-scarecrow-snowman-porch-sign/,,,
224,P,,"Christmas Box with Handles",,,0.00,0.00,0.00,30.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,27/07/2020,24/02/2022,"Category Name: Christmas, Category Path: Wood Projects/Box w\/ Handles/Christmas","Product Image File: IMG_9634__87469.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/i/962/IMG_9634__87469.jpg","long board",,,New,/9-3-8wx-4-11-16lx-4-3-4h-box-with-handles/,,,
238,P,BeachinBabesTote,"Beachin Babes Canvas Tote","Canvas Tote",,0.00,0.00,0.00,25.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,27/07/2020,24/02/2022,"Category Name: Summer, Category Path: Canvas Projects/Canvas Totes/Summer|Category Name: Kids, Category Path: Canvas Projects/Canvas Totes/Kids","Product Image File: IMG_6876__60728.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/y/305/IMG_6876__60728.jpg","long board",,,New,/16-5-8-x-19-x-6-1-8-natural-canvas-tote-2/,,,
259,P,GiveThanksMChr-RevBloSign,"GiveThanksMerryChrimstas Reversible Block Signs","Reversible Block Signs","Reversible 2x4 Blocks",0.00,0.00,0.00,45.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,03/08/2020,24/02/2022,"Category Name: Christmas, Category Path: Wood Projects/Block Signs /Christmas|Category Name: Fall, Category Path: Wood Projects/Block Signs /Fall","Product Image File: Give_Thanks_Blocks__31175.JPG, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/b/640/Give_Thanks_Blocks__31175.JPG|Product Image File: Merry_Christmas_Blocks__55449.JPG, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/h/617/Merry_Christmas_Blocks__55449.JPG","Reversible Block Signs",,,New,/reversible-block-sign/,,,
260,P,,"Fall 3 Pumpkins","Reversible Block Signs",,0.00,0.00,0.00,35.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,03/08/2020,24/02/2022,"Category Name: Fall, Category Path: Wood Projects/Block Signs /Fall","Product Image File: 2x4_Pumpkins__03226.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/h/514/2x4_Pumpkins__03226.jpg|Product Image File: Fall_Three_Pumpkins__23721.JPG, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/y/875/Fall_Three_Pumpkins__23721.JPG","3 Pumpkins",,,New,/2x4-pumpkin-block/,,,
