"Item Type","Product ID","Product SKU","Product Name","Category String",Weight,Description,Price,"Retail Price","Sale Price","Cost Price","Calculated Price","Sort Order","Product Not Visible","Product Visible","Allow Purchases","Product Availability","Minimum Purchase Quantity","Maximum Purchase Quantity","Brand + Name",Brand,"Product UPC/EAN","Product Tax Class","Search Keywords","Page Title","Meta Keywords","Meta Description","Product URL","Redirect Old URL?","Option Set","Option Set Align","Stop Processing Rules","Product Custom Fields","Product Images","Category Details","Product Type","Product Files","Shipping Groups","Event Date Required","Event Date Name","Event Date Is Limited","Event Date Start Date","Event Date End Date","GPS Category","GPS Enabled","GPS Custom Item","Date Added","Date Modified"
Product,177,,"It Never Gets Easier, You Just Get Better Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p><font style=""background-color: #ffffff;"">12 x 12 Planked Sign</font></p>",27.00,0.00,0.00,0.00,27.00,0,0,1,1,,0,0,"Metal Word Signs  It Never Gets Easier, You Just Get Better Metal Laser","Metal Word Signs",,"Default Tax Class",,"It Never Gets Easier, You Just Get Better Metal Laser",,,/12-x-12-planked-sign/,,,Right,0,,"Product Image ID: 411, Product Image File: IMG_7658__11692.jpg, Product Image Path: k/510/IMG_7658__11692.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/k/510/IMG_7658__11692.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 0","Category ID: 559, Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs",P,,,0,,0,,,,0,0,06/28/2020,07/22/2021

Product,178,,"It's a Good Day to Have a Good Day Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p><font style=""background-color: #ffffff;"">18 x 18 Planked Sign or 18 x 20 Planked Sign</font></p>",30.00,0.00,0.00,0.00,30.00,0,0,1,1,,0,0,"Metal Word Signs  It's a Good Day to Have a Good Day Metal Laser","Metal Word Signs",,"Default Tax Class",,"It's a Good Day to Have a Good Day Metal Laser",,,/18-x-18-planked-sign/,,,Right,0,,"Product Image ID: 432, Product Image File: Metal_Good_Day_18x18__04362.jpg, Product Image Path: f/804/Metal_Good_Day_18x18__04362.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/f/804/Metal_Good_Day_18x18__04362.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 0","Category ID: 559, Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs",P,,,0,,0,,,,0,0,06/28/2020,07/22/2021

Product,179,,"We're Just a Big Happy Family Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p><font style=""background-color: #ffffff;"">&nbsp;20 x 20 Planked Sign</font></p>",30.00,0.00,0.00,0.00,30.00,0,0,1,1,,0,0,"Metal Word Signs  We're Just a Big Happy Family Metal Laser","Metal Word Signs",,"Default Tax Class",,"We're Just a Big Happy Family Metal Laser",,,/20-x-20-planked-sign/,,,Right,0,,"Product Image ID: 433, Product Image File: Metal_Happy_Family_20x20__11651.jpg, Product Image Path: h/459/Metal_Happy_Family_20x20__11651.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/h/459/Metal_Happy_Family_20x20__11651.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 0","Category ID: 559, Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs",P,,,0,,0,,,,0,0,06/28/2020,07/22/2021

Product,180,,"Thankful & Blessed Metal Laser","Wood Projects/Metal Laser Signs",0.0000,"<p>5 1/2 x 21 metal laser sign</p>",20.00,0.00,0.00,0.00,20.00,0,0,1,1,,0,0,"Metal Word Signs  Thankful & Blessed Metal Laser","Metal Word Signs",,"Default Tax Class",,"Thankful & Blessed Metal Laser",,,/thankful-blessed/,,,Right,0,,"Product Image ID: 416, Product Image File: IMG_7690__69196.jpg, Product Image Path: t/895/IMG_7690__69196.jpg, Product Image URL: http://ez-peezie-crafts.mybigcommerce.com/product_images/t/895/IMG_7690__69196.jpg, Product Image Description: , Product Image Is Thumbnail: 1, Product Image Index: 0","Category ID: 559, Category Name: Metal Laser Signs, Category Path: Wood Projects/Metal Laser Signs",P,,,0,,0,,,,0,0,06/28/2020,07/22/2021

"  SKU",239,180-PA,"[S]Lumber Type=Pallet",,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

