handleId,fieldType,name,description,productImageUrl,price,surcharge,visible,inventory,weight,collection,sku,ribbon,discountMode,discountValue,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,additionalInfoTitle7,additionalInfoDescription7,additionalInfoTitle8,additionalInfoDescription8,customTextField1,customTextCharLimit1,customTextMandatory1,brand
183,Product,No Place Like Home Metal Laser,<p>12x12 metal laser sign</p>,http://ez-peezie-crafts.mybigcommerce.com/product_images/r/372/Metal_No_place__00461.jpg,25.0,0.0,TRUE,InStock,0.0000,Metal Laser Signs,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal Word Signs
186,Product,Christmas One Piece Wood Signs,"<p>One Piece - Means one piece of Wood, This is not multiple pieces of wood pieced together.</p>",http://ez-peezie-crafts.mybigcommerce.com/product_images/n/169/elf_welcome_hat__98847.jpg,30.0,0.0,TRUE,InStock,0.0000,Christmas,,New,,,Design,DROP_DOWN,Welcome w/ Truck;Winter Sweater;The Magic of Christmas;Reindeer Sleigh Rides;Tree Key;Welcome Red Tree Truck;String Xmas Lights;Be Merry;Snowflake Key;4 Trees;Home with Wreath;Welcome Moose;Farm Fresh Christmas Trees;6 Trees;Ornament Key;O Come let us;Welcome Rear Facing Truck;Santa Express;Winter Deer Scene;12 Trees;Dear Santa;Believe in Magic;Deer hooves;Christmas Begins with Christ;Deer Tree Scape;Bird on Birch Trees;Elf Welcome;Never Forgot;Merry Farmhouse Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/333_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-WE-1-1-1-1,,,,Design,DROP_DOWN,Welcome w/ Truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/335_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-WI-1-1,,,,Design,DROP_DOWN,Winter Sweater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/327_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-TH-1,,,,Design,DROP_DOWN,The Magic of Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/323_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-RE-1,,,,Design,DROP_DOWN,Reindeer Sleigh Rides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/329_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-TR-1,,,,Design,DROP_DOWN,Tree Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/331_source_1595216341.jpg,0,0.0,TRUE,InStock,,,186-WE,,,,Design,DROP_DOWN,Welcome Red Tree Truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/328_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-ST-1,,,,Design,DROP_DOWN,String Xmas Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/309_source_1595216341.jpg,0,0.0,TRUE,InStock,,,171-BE-1-1,,,,Design,DROP_DOWN,Be Merry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
